Algorithm,Group Size,Message Size,Encryption Time (ms),Decryption Time (ms),CPU Usage (%),Memory Usage (%),Message Overhead (bytes),Total Time (ms)
RatchetTree,50,1024,5.893749767,5.293628899,49.95,0.044491768,2156,34.62416603
RatchetTree,50,1024,6.710400339,5.03849797,49.95,0.044491768,2156,34.04633305
RatchetTree,50,1024,10.10414853,5.675295717,49.7,0.044491768,2156,34.14020798
RatchetTree,50,1024,4.502097727,2.60300131,49.15,0.044491768,2156,19.64458404
RatchetTree,50,1024,5.947900354,5.142456153,45.85,0.044491768,2156,36.871708
RatchetTree,50,1024,5.36669977,5.18725079,49.9,0.044491768,2156,33.568958
RatchetTree,50,10240,23.38750055,12.92062789,49.85,0.07903862,2156,43.74570801
RatchetTree,50,10240,15.55625058,13.18008814,49.85,0.07903862,2156,44.31433295
RatchetTree,50,10240,11.93335047,12.52249902,49.5,0.07903862,2156,41.53308301
RatchetTree,50,10240,16.09789906,12.72662688,49.95,0.07903862,2156,44.92950003
RatchetTree,50,10240,11.22500107,12.50950311,49.65,0.07903862,2156,42.00999998
RatchetTree,50,10240,15.57914948,12.43529102,49,0.07903862,2156,44.96483301
RatchetTree,50,10240,13.20834854,12.74099917,49.9,0.07903862,2156,44.83270802
RatchetTree,50,10240,15.80204989,12.71679386,49.95,0.07903862,2156,45.71454099
RatchetTree,50,10240,13.36665009,12.77104078,49.3,0.07903862,2156,44.815292
RatchetTree,50,10240,15.79165109,12.49178982,49.95,0.07903862,2156,44.85195799
RatchetTree,100,128,5.812500603,6.099663733,49.95,0.079363823,4356,52.463083
RatchetTree,100,128,5.958304973,6.139953097,49.9,0.079363823,4356,52.891083
RatchetTree,100,128,5.891604815,6.341001135,49.8,0.079363823,4356,52.13216704
RatchetTree,100,128,6.004201714,6.258622278,49.95,0.079363823,4356,53.36174998
RatchetTree,100,128,5.349999992,5.442157155,49.85,0.079363823,4356,45.14374997
RatchetTree,100,128,5.708396202,5.986917007,49.9,0.079363823,4356,51.716291
